,open,high,low,close,prev_close,volume,turnover,vwap,trades,daily_return,log_return,price_range,volatility_30d,volatility_90d,decade,year,month,RSI,PE_Ratio,SMA_50,SMA_100,SMA_200,EMA_20,EMA_50,RSI_14,BB_mid,BB_upper,BB_lower,BB_width,BB_squeeze,MACD,MACD_signal,MACD_hist
1995-01-19,282.0,287.5,282.0,283.95,283.35,64350.0,18378380.0,285.6,,0.0021175224986764,0.0021152837078132,5.5,0.3700600195343846,,1990s,1995,1,,,343.82099999999997,,,307.64517073632305,335.85450576767045,29.41152365540954,313.34000000000003,365.8197163824165,260.86028361758355,104.95943276483297,False,-19.405944285798284,-17.371097412761337,-2.0348468730369476
1995-01-20,284.0,285.45,271.0,272.5,283.95,165400.0,45770670.0,276.73,,-0.0403240007043492,-0.0411595522201426,14.449999999999989,0.3795488048357258,,1990s,1995,1,,,341.816,,,304.298011618578,333.3700153454089,25.67030030396269,309.7275,363.0436126529399,256.41138734706016,106.63222530587973,False,-19.815233310403016,-17.859924592289673,-1.9553087181133435
1995-01-23,274.5,274.5,250.3,251.7,272.5,175050.0,44793455.0,255.89,,-0.0763302752293578,-0.0794007119620286,24.19999999999999,0.4151230029700469,,1990s,1995,1,,,339.62,,,299.28867717871344,330.16726964558893,20.555141556690415,305.3625,362.7286084154813,247.9963915845187,114.73221683096259,False,-21.569345984262554,-18.60180887068425,-2.967537113578306
1995-01-24,250.0,251.75,235.15,246.4,251.7,287400.0,69264800.0,241.0,,-0.0210568136670639,-0.0212816704819054,16.599999999999994,0.4061945574761408,,1990s,1995,1,,,337.32300000000004,,,294.2516603045502,326.8822786790953,19.48946525430857,300.79499999999996,361.7384932410422,239.85150675895775,121.88698648208444,False,-23.120638295870265,-19.50557475572145,-3.615063540148814
1995-01-25,245.0,250.0,238.0,242.5,246.4,372400.0,90978380.0,244.3,,-0.015827922077922,-0.0159545212818267,12.0,0.4016396330925048,,1990s,1995,1,,,334.69800000000004,,,289.3229307517359,323.5731697112876,18.720348645398587,295.9575,359.35849845635755,232.55650154364244,126.80199691271511,False,-24.38366630871542,-20.481193066320245,-3.9024732423951747
1995-01-26,245.0,250.0,238.0,242.5,246.4,372400.0,90978380.0,244.3,,0.0,0.0,12.0,0.3891327542294704,,1990s,1995,1,,,331.798,,,284.8636040134753,320.39382972260967,18.720348645398587,291.1225,355.3814455169259,226.8635544830741,128.5178910338518,False,-25.095341631500446,-21.404022779356286,-3.6913188521441604
1995-01-27,245.0,261.0,242.0,256.2,242.5,316250.0,79687285.0,251.98,,0.0564948453608247,0.0549566790850959,19.0,0.4355516181589964,,1990s,1995,1,,,329.17199999999997,,,282.1337369645729,317.87642463544853,29.97809625118009,286.87250000000006,348.37018052964436,225.37481947035576,122.9953610592886,False,-24.27405772050298,-21.978029767585625,-2.296027952917356
1995-01-30,250.0,269.0,248.0,267.95,256.2,425600.0,110926380.0,260.64,,0.0458626073380172,0.0448420064782254,21.0,0.4634262132386326,,1990s,1995,1,,,326.966,,,280.7829048727088,315.9185256301368,37.91997969141712,283.21,339.5970795204183,226.82292047958168,112.7741590408366,False,-22.41665228914593,-22.06575427189769,-0.350898017248241
1995-01-31,265.0,276.65,264.0,272.45,267.95,301000.0,81839462.5,271.89,,0.0167941780182869,0.016654715088248,12.649999999999975,0.4678138984128128,,1990s,1995,1,,,324.995,,,279.9892948848318,314.2138775662099,40.6942314106408,280.0225,330.71719478108366,229.3278052189163,101.38938956216737,False,-20.346985329659447,-21.72200048345004,1.3750151537905921
1995-02-01,275.0,279.0,257.1,261.05,272.45,387250.0,103804752.5,268.06,,-0.0418425399155807,-0.0427431511725458,21.899999999999977,0.4755146182190366,,1990s,1995,2,,,322.871,,,278.1855525148478,312.12901962243694,36.27199026839188,276.475,321.4635891965351,231.48641080346493,89.97717839307018,False,-19.402978619752275,-21.25819611071049,1.8552174909582142
1995-02-02,259.0,275.9,254.0,274.75,261.05,439600.0,117200007.5,266.61,,0.0524803677456424,0.0511496334271692,21.899999999999977,0.5074149970078689,,1990s,1995,2,,,320.806,,,277.85835703724325,310.6631757156747,44.129620549466345,274.1475,313.88141067960197,234.413589320398,79.46782135920398,False,-17.34937816475656,-20.476432521519705,3.1270543567631464
